"taxon_name","leaf_length","plant_height","leaf_width","leaf_area","plant_growth_form","woodiness_detailed","leaf_shape","life_history","fam","LxW","residuals","logLxW","log_area","log_length","log_width","log_height"
"Corymbia intermedia",121,28.5714285714286,24.6666666666667,2124.45928888889,"tree","woody","lanceolate","perennial","Myrtaceae",2984.66666666667,0.0325196057955543,8.0012433501328,7.66127259669246,4.79579054559674,3.20545280453606,3.35240721749272
"Corymbia kombolgiensis",138.8,11.2,12.5,3328,"tree","woody","lanceolate","perennial","Myrtaceae",1735,0.945683833247318,7.45876269238096,8.1101268019411,4.9330340480727,2.52572864430826,2.41591377830105
"Corymbia latifolia",116.5,11.5714285714286,79.5,7657.72923076923,"tree","woody","deltate elliptical narrowly_ovate widely_ovate","perennial","Myrtaceae",9261.75,0.337311831006887,9.13364829466604,8.94347077371682,4.75789127300576,4.37575702166029,2.44853900561713
"Corymbia leichhardtii",165.833333333333,15,27.6666666666667,1144.8335,"tree","woody","falcate lanceolate","perennial","Myrtaceae",4588.05555555556,-0.952781520903093,8.43121158705903,7.04301449056741,5.11098326793054,3.32022831912849,2.70805020110221
"Corymbia lenziana",97.5,8.66666666666667,12.125,449.295,"mallee tree","woody","lanceolate narrowly_lanceolate","perennial","Myrtaceae",1182.1875,-0.719854450722401,7.07512181482735,6.1076796875922,4.5798523780038,2.49526943682355,2.15948424935337
"Corymbia leptoloma",152,16.3333333333333,35.5,2424,"tree","woody","falcate lanceolate","perennial","Myrtaceae",5396,-0.344709666742209,8.59341321732765,7.7931743471892,5.02388052084628,3.56953269648137,2.79320800944252
"Corymbia maculata",100.157142857143,44,18.2571428571429,3625.19423076923,"tree","woody","lanceolate","perennial","Myrtaceae",1828.58326530612,0.985780728209881,7.51129677404573,8.19566314675523,4.60674038115761,2.90455639288812,3.78418963391826
"Corymbia opaca",134,10.8181818181818,18.8,1581.10731481667,"tree","woody","lanceolate","perennial","Myrtaceae",2519.2,-0.116151307937627,7.83169666978682,7.36588071271528,4.89783979995091,2.9338568698359,2.38122822031316
"Corymbia papillosa",80.1666666666667,8,37.5,2685.88,"tree","woody","elliptical oblong","perennial","Myrtaceae",3006.25,0.259957408867566,8.00844873385407,7.89576369998689,4.38410780087771,3.62434093297637,2.07944154167984
"Corymbia petalophylla",135,15,30,3483.5,"tree","woody","falcate lanceolate","perennial","Myrtaceae",4050,0.263040656544629,8.30647216010058,8.15579281447017,4.90527477843843,3.40119738166216,2.70805020110221
"Corymbia polycarpa",143,15.8333333333333,24,1708.544,"tree","woody","falcate lanceolate","perennial","Myrtaceae",3432,-0.304510069095385,8.14089846060785,7.44339682480874,4.96284463025991,3.17805383034795,2.76211742237249
"Corymbia porrecta",166.5,14.6,51.4,3910.28727272727,"tree","woody","narrowly_ovate ovate","perennial","Myrtaceae",8558.1,-0.264445894132674,9.05463348188162,8.27136612156628,5.1149953094205,3.93963817246112,2.68102152871429
"Corymbia scabrida",91.25,18,29,1803.85,"tree","woody","elliptical lanceolate ovate peltate","perennial","Myrtaceae",2646.25,-0.0271014572413046,7.88089882244908,7.49767854860678,4.5136029924626,3.36729582998647,2.89037175789616
"Corymbia setosa",63.7,4.6,37.7,2611,"tree","woody","cordate elliptical oblong","perennial","Myrtaceae",2401.49,0.424710380696354,7.78384465703208,7.86748856869913,4.15418456257812,3.62966009445396,1.52605630349505
"Corymbia terminalis",128.588447058824,14,20.0096196076471,2731.967375,"tree","woody","lanceolate","perennial","Myrtaceae",2573.00591158512,0.410577054161738,7.85283010982482,7.9127772788185,4.85661697152246,2.99621313830236,2.63905732961526
"Corymbia tessellaris",143.75,26.25,15.0833333333333,3650,"tree","woody","narrowly_lanceolate","perennial","Myrtaceae",2168.22916666667,0.846236027668898,7.68166606115529,8.20248244657654,4.96807567967746,2.71359038147783,3.26766598903763
"Corymbia torelliana",113.75,30,37.625,2848.17257777778,"tree","woody","cordate lanceolate ovate","perennial","Myrtaceae",4279.84375,0.0150090622919977,8.3616717809001,7.95443286682583,4.73400305783106,3.62766872306904,3.40119738166216
"Corymbia torta",122.5,11.8,21,753.75,"tree","woody","lanceolate","perennial","Myrtaceae",2572.5,-0.872224626629098,7.8526334677082,6.6250607480414,4.80811102998478,3.04452243772342,2.46809953147162
"Corymbia trachyphloia",98,20.4761428571429,15.5,1207.41445,"tree","woody","lanceolate narrowly_lanceolate","perennial","Myrtaceae",1519,0.0497323006694686,7.32580750259577,7.09623653415554,4.58496747867057,2.7408400239252,3.01926044538009
"Corymbia xanthope",145,12,17.5,1972.65,"tree","woody","falcate lanceolate","perennial","Myrtaceae",2537.5,0.0980685906533336,7.83893462335004,7.58713309545608,4.97673374242057,2.86220088092947,2.484906649788
"Corymbia zygophylla",98.3333333333333,5.3,34.3333333333333,1165.12,"mallee tree","woody","cordate lanceolate","perennial","Myrtaceae",3376.11111111111,-0.671813783017284,8.12447976723324,7.06057936498707,4.58836306767171,3.53611669956153,1.66770682055808
"Corynocarpus cribbianus",115,23.75,55,4463.662,"tree","woody","elliptical obovate widely_ovate","perennial","Corynocarpaceae",6325,0.127144391033171,8.75226531359572,8.4037247843486,4.74493212836325,4.00733318523247,3.16758253048065
"Cotula alpina",30,0.09775,5.33333333333333,78.184025,"herb","herbaceous","oblong","perennial","Asteraceae",160,-0.744166879171964,5.07517381523383,4.359065342795,3.40119738166216,1.67397643357167,-2.32534208011666
"Cotula australis",23.6363636363636,0.121666666666667,9.5,157.08,"herb","herbaceous","oblanceolate obovate","annual","Asteraceae",224.545454545455,-0.340150582479382,5.41407815682365,5.05675522970981,3.16278635821716,2.2512917986065,-2.10647021406776
"Craspedia adenophora",122.5,0.482666666666667,11.5,909.721,"herb","herbaceous","oblanceolate obovate spathulate","perennial","Asteraceae",1408.75,-0.167601426787942,7.25045806535399,6.81313795909494,4.80811102998478,2.4423470353692,-0.728428994704585
"Craspedia alba",32.5,0.133285714285714,3.5,86.855,"herb","herbaceous","narrowly_oblanceolate oblong","perennial","Asteraceae",113.75,-0.346330827977129,4.73400305783106,4.46424006155389,3.48124008933569,1.25276296849537,-2.01526022719011
"Craspedia aurantia",77.5,0.375,11,625.623,"herb","herbaceous","lanceolate spathulate","perennial","Asteraceae",852.5,-0.109173525929793,6.74817320915767,6.43874795326118,4.3502779363593,2.39789527279837,-0.980829253011726
"Craspedia costiniana",72.5,0.4308,6.5,1375.704,"herb","herbaceous","spathulate","perennial","Asteraceae",471.25,1.18506809255438,6.15538873876222,7.22672087907339,4.28358656186063,1.87180217690159,-0.842111333699904
"Craspedia glauca",89.6666666666667,0.48,15.5,1189.09,"herb","herbaceous","lanceolate oblanceolate oblong","perennial","Asteraceae",1389.83333333333,0.110829306573566,7.23693911485893,7.08094358768653,4.49609909093373,2.7408400239252,-0.7339691750802
"Craspedia lamicola",145,0.433125,25,1562.32520566667,"herb","herbaceous","spathulate","perennial","Asteraceae",3625,-0.440640813449006,8.19560956728878,7.35393050697949,4.97673374242057,3.2188758248682,-0.836728909037969
"Craspedia maxgrayi",108.333333333333,0.477857142857143,14.1666666666667,1237.04995,"herb","herbaceous","oblanceolate spathulate","perennial","Asteraceae",1534.72222222222,0.0650463785191729,7.33610468092389,7.12048475152874,4.68521289366163,2.65089178726226,-0.738443455475121
"Craspedia variabilis",108.75,0.426333333333333,11.5,469.5355,"herb","herbaceous","spathulate","perennial","Asteraceae",1250.625,-0.724291721778859,7.131398705338,6.15174390814342,4.68905166996879,2.4423470353692,-0.852533766071404
"Crassocephalum crepidioides",166.675,0.885714285714286,77.7666666666667,12000,"herb","herbaceous","elliptical ovate","annual","Asteraceae",12961.7591666667,0.49614510569737,9.4697586988634,9.39266192877014,5.11604580850412,4.35371289035928,-0.121360857004267
"Crassula colorata",3.58333333333333,0.0890882512727273,2.30833333333333,2,"herb","herbaceous","lanceolate","annual","Crassulaceae",8.27152777777778,-1.8520567172027,2.11281922931085,0.693147180559945,1.27629346590556,0.836525763405293,-2.41812781321395
"Crassula decumbens",5.5625,0.115,1.3625,9.3332,"herb","herbaceous","elliptical","annual","Crassulaceae",7.57890625,-0.242187746085641,2.02536889504762,2.23357793569077,1.71604764749236,0.309321247555262,-2.16282315061889
"Crassula helmsii",8,0.233333333333333,1.9,28.2743,"herb","herbaceous","elliptical lanceolate oblong","annual","Crassulaceae",15.2,0.264335827103592,2.72129542785223,3.34195326484339,2.07944154167984,0.641853886172395,-1.45528723260684
"Crassula peduncularis",3.47,0.168571428571429,0.69,3.92699,"herb","herbaceous","lanceolate linear","annual","Crassulaceae",2.3943,-0.114951542899816,0.873090912567936,1.3678732291195,1.24415459395877,-0.371063681390832,-1.78039571057774
"Crassula sieberiana",4.98888888888889,0.133333333333333,1.77444444444444,7.80196,"herb","herbaceous","narrowly_lanceolate","annual","Crassulaceae",8.85250617283951,-0.554152559520447,2.18070060230269,2.05437498418078,1.60721321741199,0.573487384890702,-2.01490302054226
"Crocosmia x crocosmiiflora",550,0.65,15,12566.4,"herb","herbaceous","ensiform","perennial","Iridaceae",8250,0.930160719412242,9.01796847932873,9.43878186438369,6.30991827822652,2.70805020110221,-0.430782916092454
"Crotalaria eremaea",34.504744445,1.23814285714286,5.852666667,469.1558,"herb","woody","narrowly_elliptical oblong ovate","perennial","Fabaceae",201.944767666605,0.841117334514595,5.30799423262008,6.1509349094434,3.54109683472721,1.76689739789286,0.213612561096895
"Crotalaria pallida var. obovata",50,3,25,3300,"herb","herbaceous","elliptical obovate","annual short_lived_perennial","Fabaceae",1250,1.21888490644737,7.13089883029635,8.10167774745457,3.91202300542815,3.2188758248682,1.09861228866811
"Croton insularis",55.3333333333333,17,22.1666666666667,1548.3036,"tree","woody","elliptical ovate","perennial","Euphorbiaceae",1226.55555555556,0.481174500468262,7.11196515868213,7.34491515895088,4.01337549968843,3.0985896589937,2.83321334405622
"Croton verreauxii",85,17.5,29.7142857142857,12631.4,"shrub","woody","elliptical","perennial","Euphorbiaceae",2525.71428571429,1.95203198398645,7.83427918713632,9.44394105639067,4.44265125649032,3.391627930646,2.86220088092947
"Crowea saligna",45,1.1,8.5,109.1,"shrub","woody","narrowly_elliptical widely_elliptical","perennial","Rutaceae",382.5,-1.16081824206506,5.94672865326659,4.69226489283903,3.80666248977032,2.14006616349627,0.0953101798043249
"Cryptandra amara",4,0.7963,2.11111111111111,6.94573333333333,"shrub","woody","elliptical obovate terete","perennial","Rhamnaceae",8.44444444444444,-0.629436068757623,2.13350876295011,1.93812756218459,1.38629436111989,0.747214401830221,-0.227779279718738
"Cryptandra ericoides",6.85714285714286,0.528571428571429,0.8,2.4,"shrub","woody","linear","perennial","Rhamnaceae",5.48571428571429,-1.31766006529828,1.70214731053837,0.8754687373539,1.92529086185258,-0.22314355131421,-0.637577329405135
"Cryptocarya angulata",94.5,30.5,42.5,1907.176,"tree","woody","elliptical lanceolate ovate","perennial","Lauraceae",4016.25,-0.3299651218947,8.29810391043007,7.55337889289923,4.5485998344997,3.74950407593037,3.41772668361337
"Cryptocarya bidwillii",89,20,30,2170.48548,"tree","woody","elliptical lanceolate","perennial","Lauraceae",2670,0.149569544607644,7.8898337513943,7.68270614501444,4.48863636973214,3.40119738166216,2.99573227355399
"Cryptocarya clarksoniana",102.5,19,35,4500,"tree","woody","elliptical lanceolate","perennial","Lauraceae",3587.5,0.62229438351618,8.18521086006788,8.41183267575841,4.62986279857846,3.55534806148941,2.94443897916644
"Cryptocarya corrugata",64,38,37.5,1745.21,"tree","woody","elliptical ovate","perennial","Lauraceae",2400,0.0238698380591293,7.78322401633604,7.46463017123533,4.15888308335967,3.62434093297637,3.63758615972639
"Cryptocarya densiflora",101.2,30,49,3440,"tree","woody","elliptical lanceolate","perennial","Lauraceae",4958.8,0.0766289449401688,8.50891905496399,8.14322675036744,4.61709875685337,3.89182029811063,3.40119738166216
"Cryptocarya foveolata",59.2,42.5,29.0263157894737,1270.61533333333,"tree","woody","elliptical ovate","perennial","Lauraceae",1718.35789473684,-0.00535886595073269,7.44912440141708,7.14725657654911,4.08092154188996,3.36820285952712,3.74950407593037
"Cryptocarya glaucescens",91.6,28.3333333333333,32.6857142857143,2507.25384615385,"tree","woody","elliptical lanceolate","perennial","Lauraceae",2994.01142857143,0.194894660923172,8.00436938213041,7.82694334798004,4.51743127168008,3.48693811045033,3.34403896782221
"Cryptocarya grandis",110,34.75,52.5,4058.204,"tree","woody","elliptical lanceolate","perennial","Lauraceae",5775,0.110406666895319,8.66129353538999,8.3084957901917,4.70048036579242,3.96081316959758,3.5481795720108
